Bitcoin, BTC, 42500.75, 18700000
Ethereum, ETH, 3200.60, 115000000
Ripple, XRP, 0.95, 99991800000
Litecoin, LTC, 132.50, 84000000
Cardano, ADA, 0.85, 45000000000
Polkadot, DOT, 22.40, 1070000000
Solana, SOL, 102.30, 500000000
Chainlink, LINK, 28.15, 1000000000
Binance Coin, BNB, 411.90, 170000000
Stellar, XLM, 0.31, 50001800000
Monero, XMR, 215.50, 18000000
Dash, DASH, 206.80, 10000000
Zcash, ZEC, 135.00, 12000000
Tezos, XTZ, 4.20, 900000000
Neo, NEO, 44.60, 100000000
Iota, MIOTA, 1.35, 2779530283
EOS, EOS, 3.90, 1020000000
VeChain, VET, 0.12, 86712634466
Tron, TRX, 0.072, 71659657369
Cosmos, ATOM, 21.85, 286370297
